Scats,longitude,latitude,location
4514,144.951685999737,-37.8081629993925,KING/ROSSLYN/CHETWYND
4517,144.952365000276,-37.8092389995562,KING/DUDLEY
4518,144.94305299949,-37.8054409993566,DRYBURGH/SPENCER/MILLER
4519,144.944844999968,-37.8061459991063,SPENCER/ABBOTSFORD
4520,144.946967999632,-37.8070909991462,SPENCER/HAWKE
4521,144.949987000453,-37.8101329994942,SPENCER/DUDLEY
4522,144.947823000255,-37.8109559991469,DUDLEY/ADDERLEY
4523,144.962837999679,-37.8074649989393,SWANSTON/FRANKLIN
4524,144.948655000511,-37.8055049994986,KING/HAWKE
4525,144.954608000187,-37.8212339994295,FLINDERS EXT/WORLD TRADE CENTRE ACCESS
4531,144.968433999508,-37.8196209987435,ST KILDA NR CONCERT HALL
4534,144.971361999987,-37.8282519990059,ST KILDA NR COVENTRY
4535,144.971337000535,-37.830285999136,ST KILDA NR DORCAS
4536,144.971923000049,-37.8324419991832,ST KILDA/PARK/DOMAIN
4537,144.992351999787,-37.8466339989569,COMMERCIAL/IZETT
4538,144.975537999784,-37.8362179987005,ST KILDA/KINGSWAY
4463,144.94745299998,-37.7936149989483,FLEMINGTON/ABBOTSFORD
4464,144.950209000121,-37.7958099990646,FLEMINGTON NR CHILDREN'S HOSPITAL
4465,144.951197000313,-37.7965959993168,FLEMINGTON/GATEHOUSE/HARKER
4466,144.955033999916,-37.7996519987028,FLEMINGTON/GRATTAN/WRECKYN
4467,144.949757999892,-37.7883529989884,ELLIOT/TRAMWAY CROSSING
4468,144.952456000174,-37.7975989991532,FLEMINGTON NR PARK
4469,144.922122000031,-37.7874189990247,RACECOURSE NR CROWN
4470,144.937138999935,-37.7841079995056,MT ALEXANDER/MOOLTAN
4471,144.932541000061,-37.7811729994556,MT ALEXANDER/WELLINGTON
4472,144.929483000377,-37.7881579994648,RACECOURSE/EASTWOOD
4480,144.927698999714,-37.7941389986788,MACAULAY/EPSOM/KENSINGTON
4481,144.930176000524,-37.7944409993448,MACAULAY NR BELLAIR
4482,144.914853999682,-37.8015149987369,DYNON/KENSINGTON
4483,144.929160999613,-37.8030859988101,DYNON/LLOYD
4484,144.93486000001,-37.7949749994442,MACAULAY/STUBBS
4485,144.936623999947,-37.7951769987055,MACAULAY NR LANGFORD
4490,144.938870999713,-37.7954329995579,BOUNDARY/MACAULAY
4492,144.943978000304,-37.8003009993688,ARDEN/DRYBURGH/MACAULAY
4493,144.94590099994,-37.8005279992297,ARDEN/ABBOTSFORD
5084,144.342888999844,-38.113437998893,THOMPSON NR VISTULA
5085,144.341271000378,-38.1217659988143,THOMPSON/VICTORIA
5086,144.343763000228,-38.1882589988536,SURF COAST HWY NR CHERYL
5087,144.342407999472,-38.1956689991943,SURF COAST HWY/MARSHALLTOWN
5089,144.372346000216,-38.1529379994118,RYRIE/GARDEN
5194,144.473448000006,-38.1914469995052,BELLARINE HWY/CHRISTIES RD/CLAREMONT DR
5193,144.464290000014,-38.1891799991603,BELLARINE HWY/KENSINGTON
5192,144.378231999856,-38.1621169990461,BELLARINE HWY(ORMOND RD)/HUMBLE
5083,144.33997099998,-38.2085799993248,SURF COAST HWY/HEYERS
4657,144.99879600044,-37.7704249993422,HIGH NR LAWRY
598,145.312650000316,-38.0271489993359,PHE/VICTOR
5057,144.354110999988,-38.1617039988483,MOORABOOL/FYANS
5058,144.350644000237,-38.1675789991818,HIGH ST/BARWON HEADS/BARRABOOL
5059,144.346875999559,-38.1711579992831,HIGH/MT PLEASANT
3878,145.009591999851,-37.8124449992047,BURNLEY/NORTHERN ACCESS RD
4157,144.996992000096,-37.7793899995328,HIGH NR UNION
4987,145.06891099989,-37.6830019994783,PLENTY/BETULA
4986,145.069125999989,-37.681840999353,PLENTY/CLEMENTS
4978,144.886945999544,-37.857668999534,FERGUSON NR MELBOURNE
5255,144.637304999854,-37.8959909990055,BALLAN/CAMBRIDGE
5088,144.3409590005,-38.2031109990249,SURF COAST HWY/PIONEER
5060,144.344573000385,-38.1733219987476,HIGH/REGENT
5061,144.342373000479,-38.1753879993726,HIGH NR ROSLYN
5062,144.342373000479,-38.1753879993726,HIGH/ROSLYN/THOMSON/CORIO
5063,144.339348000166,-38.1782209986752,HIGH NR DOROTHY
5066,144.327742000233,-38.1893459992081,CORIO-WAURN PONDS / REYNOLDS
4433,144.832489000007,-37.7825199991602,HAMPSHIRE NR SERVICE
753,145.130796999625,-38.110544999126,SEAFORD/RAILWAY/FORTESCUE
5105,143.581659999859,-38.3392989994302,PHW/GRANT/HART
1260,145.205079000421,-38.1446699990573,CRANBOURNE-FRANKSTON/NORTHGATEWAY/QUARRY
1261,145.211640000539,-38.1416489988363,CRANBOURNE-FRANKSTON/CENTRE/POTTS
6291,144.308553000053,-36.7751919995343,CONDON/RESERVOIR
3474,144.770989000455,-37.8635409991712,MAHER NR THOMAS
2683,144.558998999966,-37.6849579991645,HIGH/BARRIES
6446,142.137233999932,-34.2077839995556,CALDER HWY NR MILDURA PLAZA
2735,144.820191999973,-37.7355629994679,SUNSHINE/CALVERTON
2741,144.807882999638,-37.7233569994533,SUNSHINE/COPERNICUS
801,145.234714999594,-37.9191909992184,STUD/STUD PARK SHOPPING CENTRE
6078,145.395800000531,-36.3794039994343,MIDLAND HWY/FRYERS
961,145.245487000316,-38.0349339994161,STH GIPPS'D HWY/ABBOTTS
705,145.104749000537,-37.7724169987429,MANNINGHAM/AYR
848,145.185177000439,-37.8362699995649,CANTERBURY/STEVENS
2634,144.829734999941,-37.7716009995097,MCINTYRE/SUFFOLK
2212,145.22437499999,-37.8167339992295,MAROONDAH HWY/MARKET/MURRAY
2701,144.800222000366,-37.7016279990214,MELTON HWY/SUNSHINE
591,145.381209999833,-38.2137379994912,STH GIPPS'D HWY NR LYALL
6823,142.482458999827,-38.3830939995087,KOROIT NR LIEBIG & KEPLER
159,145.253613999864,-37.8750269987967,BURWOOD HWY/LAKEWOOD
3484,144.80899999982,-37.8494709986865,MAIDSTONE NR GATE 6
4775,145.023299000244,-37.6524159987935,HIGH ST/BUNNINGS ACCESS
4733,144.967663999889,-37.837379998852,ALBERT/LAKESIDE
4734,144.977943000157,-37.8494929990696,QUEENS/LINK
755,145.134358000267,-38.1499129987119,MOOROODUC HWY NR RAIL CROSSING
5658,147.993991000433,-37.8792799993591,PHE/MYER
2445,144.974181000012,-37.8390499988711,QUEENS O'HEAD N ARTHUR GANTRY 02
2446,144.975022000301,-37.841352999546,QUEENS O'HEAD N LEOPOLD GANTRY 03
2447,144.975740999711,-37.843340999191,QUEENS O'HEAD N LOUISE GANTRY 04
2448,144.976720000462,-37.8460249988065,QUEENS O'HEAD N ROY GANTRY 05
2449,144.977401999955,-37.8478839995166,QUEENS O'HEAD N BEATRICE GANTRY 06
2450,144.977704999688,-37.8487669987703,QUEENS O'HEAD S BEATRICE GANTRY 07
2467,144.978276999514,-37.8505119992585,QUEENS O'HEAD N LORNE GANTRY 08
116,145.178256999449,-37.8185089989353,MAROONDAH HWY/FIRE STN
5311,144.337776999592,-38.1530329988535,NOBLE NR CLAREMONT
377,145.243149999563,-37.8976079989366,FERNTREE GULLY/ENT BUNNINGS (KNOX)
157,145.310585000497,-37.7613579994396,MAROONDAH HWY/KIMBERLEY/FLETCHER
2645,144.766158999523,-37.6946169994619,MELTON HWY/OVERTON LEA
6656,146.471994999858,-38.2208819993788,PRINCES HWY/VILLAGE
4494,144.948512000383,-37.8008149987839,ARDEN/CURZON
4495,144.9504239995,-37.8010229992734,ARDEN/ERROL
4496,144.945530999883,-37.8025949990467,QUEENSBERRY/ABBOTSFORD
2149,144.958050000493,-37.6878499990977,SYDNEY / CAMPBELLFIELD SHOPPING CENTRE
597,145.496971999552,-38.0682259987122,PRINCES HWY/ARMY
175,145.232934999733,-37.8731019992994,STUD/KNOX TAFE COLLEGE ENT/RIVERPARK
799,145.232928999471,-37.8823049990948,STUD/HARCREST BLVD
3435,144.899771000182,-37.8146649990233,WHITEHALL/SOMERVILLE
2644,144.829058000406,-37.7752249991148,MCINTYRE/PHOENIX
2658,144.739647000447,-37.7563319994153,WESTERN HWY/CHRISTIES/CAROLINE SPRING
2984,145.004896999619,-37.8483239992166,MALVERN NR WESTBOURNE
3505,144.828756999979,-37.8692929992382,QUEEN NR SARGOOD
2750,144.806067999982,-37.7523829988841,ST ALBANS NR DEBENHAM
2342,145.086336999493,-38.0055879990558,NEPEAN HWY/MCDONALD
510,145.11561999958,-38.0506089993768,STATION/THAMES PROMENADE
3082,144.968781000465,-37.7381489987679,PENTRIDGE NR ACCESS ROAD
290,145.165944999624,-37.9415529986966,PHE/SMITH
3042,144.974348999976,-37.7421689988058,BELL/ALVA
3299,145.002604000135,-37.7847909991661,HEIDELBERG NR THE ESPLANADE
4478,144.939135999904,-37.7859959986934,WESTERN LINK NB ENTRY/MT ALEXANDER
4486,144.935323999972,-37.8046769991167,WESTERN LINK/DYNON ON RAMP NORTH BD
156,145.289862000232,-37.8134439988897,MERRINDALE NR CENTRE
596,145.194849999884,-37.830612998718,MITCHAM/PREMIER/REDLAND
5334,144.326416000493,-38.214959999527,BAANIP BOULEVARD / SOVEREIGN DR
2502,144.919820000289,-37.791071999219,SMITHFIELD/GATEHOUSE/STABLES
554,144.889681999992,-38.3608989994601,BONEO/MCCOMBE
1076,144.950844999459,-37.8221999990926,GEORGIANA/WURUNDJERI
306,145.652958000397,-37.7551639993759,WARBURTON HWY NR HEARSE
5078,144.363256999592,-38.1479779988712,MALOP/YARRA
5079,144.352389000106,-38.1752389995362,CORIO-WAURN POND(SETTLEMENT/BARWON HEADS
5080,144.331938999467,-38.12984199907,CHURCH/MINERVA
5081,144.36280000001,-38.1489819993455,YARRA/LT MALOP
5082,144.362744999614,-38.1478379988143,MALOP NR YARRA
2145,144.947026999968,-37.6169639988774,SYDNEY RD/GRASSLANDS
892,145.234533999955,-37.8003679991689,WARRANDYTE/WONGA
2680,144.741608999658,-37.7295739989851,CAROLINE SPRINGS/COMMERCIAL
3449,145.001231999674,-37.8006509993847,JOHNSTON/PATTERSON
6810,142.22930900015,-38.3813549992816,PHW NR REGENT
603,145.225827000374,-37.957748999455,MONASH FWY/STUD O/B RAMP
1233,144.763641000271,-37.725512999238,TAYLORS NEAR WATERVALE BLVD
4163,144.937711000311,-37.8148239989785,DOCKLANDS DR/PEARL RIVER ROAD
3967,144.939636000155,-37.8140959990593,DOCKLANDS/DOEPEL/WATERFRONT
297,145.172127999707,-37.8183689994942,MAROONDAH HWY/BRAND SMART
2696,144.834748000252,-37.7767929995258,WESTMORELAND BTW BALLARAT & PHOENIX
