OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI,geometry
49621,,,1500,PALMERS/PFW OB OFF RAMP,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.748827000159 -37.8724669987831)
49622,,,5331,SURF COAST HIGHWAY / BAANIP BOULEVARD,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.33907000049 -38.2131499992803)
49623,,,1548,ERAMOSA ROAD WEST/SHOPPING CENTRE ACCESS,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.170998000018 -38.2231479992375)
49624,,,2979,MAIN/WINDROCK/CENTRAL PARK,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.914645000512 -37.5904949988727)
49625,,,3496,MAIN NR MORRIS,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (145.330223999897 -37.9034909995357)
49626,,,924,CHELTENHAM/KINGSCLERE,INT,,,,,,,,OPERATIONAL,"BUS PRI,Bluetooth",,,,POINT (145.17543000022 -37.9944999991073)
49627,,,3527,KOROROIT/MADDOX,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (144.867203000477 -37.855593999337)
49628,,,1419,Lower Dandenong Road / Hargrave Place,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.104114999449 -37.9859659991747)
49629,,,1309,JASPER NR CARCOOLA,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,POINT (145.043545000522 -37.9076119989274)
49630,,,1310,COOPER ST/DALTON RD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.0316249995 -37.6526789994921)
49631,,,6411,MVH/BUTCHER/BRIDLINGTON,INT,,,,,,,,OPERATIONAL,"Bluetooth,PARTFCRT",,,,POINT (144.72882699948 -36.1333299988058)
49632,,,1117,HIGH STREET/GEORGE,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.207656000554 -37.8769009987622)
49633,,,1523,MANOR LAKES/ARMSTRONG,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.608394000369 -37.8763769988819)
49634,,,2060,MASON STREET NR BLENHEIM RD,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.864593000452 -37.8405089993056)
49635,,,2061,DUOSA RD NR LANGSHAW ST,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.847128000358 -37.8266969993733)
49636,,,6665,MORWELL-TRARALGON/CHURCH,INT,,,,,,,,OPERATIONAL,,,,,POINT (146.398703000109 -38.2368099987143)
49637,,,5170,WALLAN-WHITTLESEA RD/ WINDHAM ST,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.982060999515 -37.4167019991968)
49638,,,954,CHANDLER/DOUGLAS/RAILWAY,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.185732999931 -37.9741709992202)
49639,,,1314,NARRE WARREN-CRANBOURNE NR HILLSMEADE,FIRE SIG,,,,,,,,OPERATIONAL,FIRE LNK,,,,POINT (145.300131000436 -38.0602859989421)
49640,,,1315,TARNEIT ROAD/BETHANY ROAD,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.668353999899 -37.8525999986747)
49641,,,4824,CHURCH/ELIZABETH/BAKER,INT,,,,,,,,OPERATIONAL,"FIRE LNK,RLC,TRAM PRI",,,,POINT (145.000410000454 -37.8118219990205)
49642,,,2405,PHE/ALBERT,INT,,,,,,,,OPERATIONAL,"Bluetooth,PUFFIN,RLC",,,,POINT (144.97108899997 -37.8351299992116)
49643,,,2325,NEPEAN/HIGHETT/ROWANS,INT,,,,,,,,OPERATIONAL,"RLC,SRLC",,,,POINT (145.046260000236 -37.9494839989176)
49644,,,196,PHE/FOSTER,INT,,,,,,,,OPERATIONAL,"Bluetooth,PARTFCRT",,,,POINT (145.214606999631 -37.9901159988957)
49645,,,270,STH GIPPS'D FWY/PHE,INT,,,,,,,,OPERATIONAL,"Bluetooth,RLC,SRLC",,,,POINT (145.253062999676 -38.0037839988553)
49646,,,6305,WARRAGUL KORUMBURRA/ALFRED,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.930812999933 -38.1636399994543)
49647,,,6307,DROUIN WARRAGUL/NORMANBY,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.938546999686 -38.1662399992207)
49648,,,1568,AITKEN BOULEVARD / SILVESTER PARADE,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.912794000058 -37.6291489994202)
49649,,,6801,HOPKINS HIGHWAY / WOLLASTON ROAD,INT,,,,,,,,OPERATIONAL,,,,,POINT (142.496144000075 -38.3638609991629)
49650,,,2525,Victoria St bt Pilgrim St and Austin St,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.892049999847 -37.8053499993112)
49651,,,1570,AIRPORT DRIVE / LINK ROAD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (144.864389000227 -37.6937009989634)
49652,,,1572,MELROSE DR/WATSON DR/SPRINGBANK ST,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.868939999686 -37.6869199989558)
49653,,,5345,Tarneit Rd / Loretta Blvd / Obsidian Av,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.670644000426 -37.8424579991304)
49654,,,6600,PHE/MINNIEDALE RD / WILMOT CRT,RBT MTR,,,,,,,,OPERATIONAL,"RAIL LNK,RBT SIGS",,,,POINT (146.592112999472 -38.1854899989877)
49655,,,3160,High Street Road near Wolf Street,POS,,,,,,,,OPERATIONAL,"METER,PUFFIN",,,,POINT (145.237180999574 -37.8769149992822)
49656,,,6148,SOUTH STREET / HOVELL STREET,INT,,,,,,,,OPERATIONAL,,,,,POINT (146.891503999755 -36.1197529993452)
49657,,,2037,Pearcedale Pde near Coleraine St,POS,,,,,,,,OPERATIONAL,,,,,POINT (144.919000000294 -37.6759999992776)
49658,,,6702,Sth Gippsland Hwy / Nerrena Rd / Long St,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.949323000473 -38.479652999314)
49659,,,2906,ELIZABETH/LONSDALE,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,,POINT (144.962256999873 -37.8122819990055)
49660,,,1389,MAIN STREET WEST OF PARA ROAD,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,POINT (145.103852999488 -37.7037329995064)
49661,,,1391,WARRANDYTE/EASTLAND SHOPPING,INT,,,,,,,,OPERATIONAL,PARTFCRT,,,,POINT (145.230756999925 -37.8127059993493)
49662,,,1772,Arden St/Court St/Chetwyn St/Wreckyn St,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.952229000496 -37.801437999349)
49663,,,1118,DANDENONG SOUTHERN BYPASS/PERRY,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.174440999465 -37.9989409988865)
49664,,,1250,MAROONDAH NR ANDERSON LILYDALE FIRE STAT,FIRE W/W,,,,,,,,OPERATIONAL,FIRE LNK,,,,POINT (145.353318999487 -37.7577639988976)
49665,,,1584,Black Forest Rd/Clitheroe Dv/Shipwright,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.618216999936 -37.9004769993972)
49666,,,1588,Abbbotts Road / Produce Drive,INT,,,,,,,,OPERATIONAL,VESI,,,,POINT (145.22230999994 -38.0328999994027)
49667,,,2545,Geelong Rd Service Rd NR Buckley  St,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.886229000291 -37.8024169994251)
49668,,,40163,MONASH/HIGH STREET RD OB,OH LANE,,,,,,,,OPERATIONAL,SAFECAM,,,,POINT (145.059451000324 -37.8599639994038)
49669,,,40164,M1 west of Moira St,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.061227999874 -37.8660499993183)
49670,,,40165,M1 NR Darling Station OB,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.063738000514 -37.8691259995006)
49671,,,40166,M1 NR Darling Station IB,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.063738000514 -37.8691259995006)
49672,,,40167,M1/Winton OB,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.065949999978 -37.8733779994654)
49673,,,40168,M1/Winton IB,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.065949999978 -37.8733779994654)
49674,,,40169,M1 NR East Malvern Station OB,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.070173999662 -37.8770029993428)
49675,,,40170,M1 NR East Malvern Station IB,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.070173999662 -37.8770029993428)
49676,,,40171,M1 west of Waverley Rd,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.077099999803 -37.8768689991618)
49677,,,40172,M1 west of Waverley Rd OB,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.077099999803 -37.8768689991618)
49678,,,40174,M1 East of Waverley Rd,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.082562999795 -37.87830599922)
49679,,,40175,M1 East of Waverley Rd IB,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.082562999795 -37.87830599922)
49680,,,40176,M1/Warrigal Rd,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.088958000213 -37.8821399988693)
49681,,,40177,M1/Warrigal IB,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.088958000213 -37.8821399988693)
49682,,,40178,M1/Warrigal Rd IB ramp,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.088958000213 -37.8821399988693)
49683,,,40179,M1 East of Warrigal OB,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.095432999445 -37.8844749993734)
